[2024-09-28 16:31:00] Client IP: 127.0.0.1, Port: 33888, File: windows-11-23h2.iso, Status: Resume transfer failed
[2024-09-28 16:34:04] Client IP: 127.0.0.1, Port: 45646, File: N/A, Status: Connected
[2024-09-28 16:34:25] Client IP: 127.0.0.1, Port: 40464, File: N/A, Status: Connected
[2024-09-28 16:36:19] Client IP: 127.0.0.1, Port: 41586, File: N/A, Status: Connected
[2024-09-28 16:36:35] Client IP: 127.0.0.1, Port: 55164, File: N/A, Status: Connected
[2024-09-28 16:37:21] Client IP: 127.0.0.1, Port: 55164, File: windows-11-23h2.iso, Status: Upload successful
[2024-09-28 16:37:25] Client IP: 127.0.0.1, Port: 41586, File: windows-11-23h2.iso, Status: Transfer successful
[2024-09-28 16:58:35] Client IP: 127.0.0.1, Port: 57094, File: N/A, Status: Connected
[2024-09-28 16:58:35] Client IP: 127.0.0.1, Port: 57094, File: POST, Status: Transfer failed
[2024-09-28 17:06:59] Client IP: 127.0.0.1, Port: 35906, File: N/A, Status: Connected
[2024-09-28 17:07:18] Client IP: 127.0.0.1, Port: 35906, File: cudnn-8.9.0.131-1-x86_64.pkg.tar.zst, Status: Upload successful
[2024-09-28 17:07:49] Client IP: 127.0.0.1, Port: 36806, File: N/A, Status: Connected
[2024-09-28 17:07:56] Client IP: 127.0.0.1, Port: 36806, File: cudnn-8.9.0.131-1-x86_64.pkg.tar.zstZi[6, Status: Upload failed
[2024-09-28 17:08:20] Client IP: 127.0.0.1, Port: 56528, File: N/A, Status: Connected
[2024-09-28 17:08:26] Client IP: 127.0.0.1, Port: 56528, File: hello.c, Status: Upload successful
[2024-09-28 17:08:33] Client IP: 127.0.0.1, Port: 34430, File: N/A, Status: Connected
[2024-09-28 17:08:42] Client IP: 127.0.0.1, Port: 34430, File: hello.c, Status: Upload successful
[2024-09-28 18:46:51] Client IP: 127.0.0.1, Port: 43060, File: N/A, Status: Connected
[2024-09-28 18:47:05] Client IP: 127.0.0.1, Port: 43060, File: cudnn-8.9.0.131-1-x86_64.pkg.tar.zst, Status: Upload successful
[2024-09-28 18:50:10] Client IP: 127.0.0.1, Port: 46124, File: N/A, Status: Connected
[2024-09-28 18:50:10] Client IP: 127.0.0.1, Port: 46124, File: POST, Status: Transfer failed
[2024-09-28 18:50:39] Client IP: 127.0.0.1, Port: 57138, File: N/A, Status: Connected
[2024-09-28 18:50:39] Client IP: 127.0.0.1, Port: 57138, File: POST, Status: Transfer failed
[2024-09-28 19:55:31] Client IP: 127.0.0.1, Port: 54038, File: N/A, Status: Connected
[2024-09-28 19:55:39] Client IP: 127.0.0.1, Port: 42614, File: N/A, Status: Connected
[2024-09-28 19:55:47] Client IP: 127.0.0.1, Port: 60976, File: N/A, Status: Connected
[2024-09-28 19:55:52] Client IP: 127.0.0.1, Port: 43720, File: N/A, Status: Connected
[2024-09-28 20:02:11] Client IP: 127.0.0.1, Port: 43720, File: N/A, Status: Disconnected
[2024-09-28 20:02:12] Client IP: 127.0.0.1, Port: 60976, File: N/A, Status: Disconnected
[2024-09-28 20:02:14] Client IP: 127.0.0.1, Port: 42614, File: N/A, Status: Disconnected
[2024-09-28 20:05:22] Client IP: 127.0.0.1, Port: 50420, File: N/A, Status: Connected
[2024-09-28 20:05:52] Client IP: 127.0.0.1, Port: 50420, File: N/A, Status: Disconnected
[2024-09-28 20:05:57] Client IP: 127.0.0.1, Port: 58114, File: N/A, Status: Connected
[2024-09-28 20:08:46] Client IP: 127.0.0.1, Port: 58114, File: N/A, Status: Error receiving file request
[2024-09-28 20:08:54] Client IP: 127.0.0.1, Port: 36872, File: N/A, Status: Connected
[2024-09-28 20:09:27] Client IP: 127.0.0.1, Port: 36872, File: file_44.bin, Status: Transfer successful
[2024-09-28 20:10:23] Client IP: 127.0.0.1, Port: 33522, File: N/A, Status: Connected
[2024-09-28 20:10:31] Client IP: 127.0.0.1, Port: 33522, File: file_44.bin, Status: Upload successful
[2024-09-28 20:11:03] Client IP: 127.0.0.1, Port: 50060, File: N/A, Status: Connected
[2024-09-28 20:11:15] Client IP: 127.0.0.1, Port: 50060, File: file_44.bin, Status: Upload failed
[2024-09-28 20:11:18] Client IP: 127.0.0.1, Port: 36200, File: N/A, Status: Connected
[2024-09-28 20:18:05] Client IP: 127.0.0.1, Port: 33272, File: N/A, Status: Connected
[2024-09-28 20:20:22] Client IP: 127.0.0.1, Port: 33272, File: windows-11-23h2.iso, Status: Transfer successful
[2024-09-28 20:20:52] Client IP: 127.0.0.1, Port: 50512, File: N/A, Status: Connected
[2024-09-28 20:21:48] Client IP: 127.0.0.1, Port: 50512, File: windows-11-23h2.iso, Status: Upload successful
[2024-09-28 20:22:28] Client IP: 127.0.0.1, Port: 37036, File: N/A, Status: Connected
[2024-09-28 20:22:28] Client IP: 127.0.0.1, Port: 37036, File: POST, Status: Transfer failed
